UF,Cidade,Codigo,TotalEleitores,TotalComparecimento
"AL","TRAIPU",28835,19127,15301.6
"AL","UNIÃO DOS PALMARES",28851,48107,38485.6
"AL","VIÇOSA",28878,20899,16719.2
"AM","ALVARÃES",2895,11544,9235.2
"AM","AMATURÁ",2917,6896,5516.8
"AM","ANAMÃ",2933,8667,6933.6
"AM","ANORI",2038,10659,8527.2
"AM","APUÍ",2003,11098,8878.4
"AM","ATALAIA DO NORTE",2054,9208,7366.4
"AM","AUTAZES",2070,30673,24538.4
"AM","BARCELOS",2097,11729,9383.2
"AM","BARREIRINHA",2119,20730,16584.0
"AM","BENJAMIN CONSTANT",2135,21978,17582.4
"AM","BERURI",2950,13818,11054.4
"AM","BOA VISTA DO RAMOS",2976,12815,10252.0
"AM","BOCA DO ACRE",2151,21662,17329.6
"AM","BORBA",2178,22804,18243.2
"AM","CAAPIRANGA",2992,9253,7402.4
"AM","CANUTAMA",2194,10250,8200.0
"AM","CARAUARI",2216,20558,16446.4
"AM","CAREIRO",2232,26350,21080.0
"AM","CAREIRO DA VÁRZEA",2046,17794,14235.2
"AM","COARI",2259,50830,40664.0
"AM","CODAJÁS",2275,16232,12985.6
"AM","EIRUNEPÉ",2291,21994,17595.2
"AM","ENVIRA",2313,10407,8325.6
"AM","FONTE BOA",2330,16286,13028.8
"AM","GUAJARÁ",2020,11510,9208.0
"AM","HUMAITÁ",2356,31848,25478.4
"AM","IPIXUNA",2399,11229,8983.2
"AM","IRANDUBA",98353,41191,32952.8
"AM","ITACOATIARA",2410,73587,58869.6
"AM","ITAMARATI",98370,7218,5774.4
"AM","ITAPIRANGA",2437,8662,6929.6
"AM","JAPURÁ",2453,5430,4344.0
"AM","JURUÁ",2470,7254,5803.2
"AM","JUTAÍ",2496,14507,11605.6
"AM","LÁBREA",2518,26502,21201.6
"AM","MANACAPURU",2534,77572,62057.6
"AM","MANAQUIRI",98396,14381,11504.8
"AM","MANAUS",2550,1443001,1154400.8
"AM","MANICORÉ",2577,32297,25837.6
"AM","MARAÃ",2593,9941,7952.8
"AM","MAUÉS",2615,36600,29280.0
"AM","NHAMUNDÁ",2631,15187,12149.6
"AM","NOVA OLINDA DO NORTE",2658,18852,15081.6
"AM","NOVO AIRÃO",2011,12714,10171.2
"AM","NOVO ARIPUANÃ",2674,13010,10408.0
"AM","PARINTINS",2690,71320,57056.0
"AM","PAUINI",2712,11130,8904.0
"AM","PRESIDENTE FIGUEIREDO",98418,27571,22056.8
"AM","RIO PRETO DA EVA",98434,21171,16936.8
"AM","SANTA ISABEL DO RIO NEGRO",2372,8393,6714.4
"AM","SANTO ANTÔNIO DO IÇÁ",2739,17499,13999.2
"AM","SÃO GABRIEL DA CACHOEIRA",2836,30894,24715.2
"AM","SÃO PAULO DE OLIVENÇA",2755,19492,15593.6
"AM","SÃO SEBASTIÃO DO UATUMÃ",98450,7409,5927.2
"AM","SILVES",2771,8796,7036.8
"AM","TABATINGA",98477,37294,29835.2
"AM","TAPAUÁ",2798,14048,11238.4
"AM","TEFÉ",2810,46943,37554.4
"AM","TONANTINS",98515,10671,8536.8
"AM","UARINI",98493,8795,7036.0
"AM","URUCARÁ",2852,12229,9783.2
"AM","URUCURITUBA",2879,13341,10672.8
"AP","AMAPÁ",6017,7257,5805.6
"AP","CALÇOENE",6033,8747,6997.6
"AP","CUTIAS",6068,6059,4847.2
"AP","FERREIRA GOMES",6114,7051,5640.8
"AP","ITAUBAL",6041,8499,6799.2
"AP","LARANJAL DO JARI",6130,29267,23413.6
"AP","MACAPÁ",6050,311324,249059.2
"AP","MAZAGÃO",6076,20831,16664.8
"AP","OIAPOQUE",6092,22894,18315.2
"AP","PEDRA BRANCA DO AMAPARI",6084,10621,8496.8
"AP","PORTO GRANDE",6025,14999,11999.2
"AP","PRACUÚBA",6009,4076,3260.8
"AP","SANTANA",6157,83401,66720.8
"AP","SERRA DO NAVIO",6106,4055,3244.0
"AP","TARTARUGALZINHO",6173,11141,8912.8
"AP","VITÓRIA DO JARI",6122,10356,8284.8
"BA","ABAÍRA",33014,6740,5392.0
"BA","ABARÉ",33030,14007,11205.6
"BA","ACAJUTIBA",33057,11635,9308.0
"BA","ADUSTINA",33065,12196,9756.8
"BA","ÁGUA FRIA",33073,12617,10093.6
"BA","AIQUARA",33111,4344,3475.2
"BA","ALAGOINHAS",33138,112863,90290.4
"BA","ALCOBAÇA",33154,17523,14018.4
"BA","ALMADINA",33170,4921,3936.8
"BA","AMARGOSA",33197,27286,21828.8
"BA","AMÉLIA RODRIGUES",33219,18860,15088.0
"BA","AMÉRICA DOURADA",30716,12278,9822.4
"BA","ANAGÉ",33235,17910,14328.0
"BA","ANDARAÍ",33251,9644,7715.2
"BA","ANDORINHA",33260,12708,10166.4
"BA","ANGICAL",33278,12386,9908.8
"BA","ANGUERA",33294,9353,7482.4
"BA","ANTAS",33316,10600,8480.0
"BA","ANTÔNIO CARDOSO",33332,11529,9223.2
"BA","ANTÔNIO GONÇALVES",33359,8470,6776.0
"BA","APORÁ",33375,13240,10592.0
"BA","APUAREMA",33405,6116,4892.8
"BA","ARAÇÁS",33383,10884,8707.2
"BA","ARACATU",33391,12052,9641.6
"BA","ARACI",33413,38000,30400.0
"BA","ARAMARI",33430,9569,7655.2
"BA","ARATACA",30732,6798,5438.4
"BA","ARATUÍPE",33456,8278,6622.4
"BA","AURELINO LEAL",33472,9935,7948.0
"BA","BAIANÓPOLIS",33499,12088,9670.4
"BA","BAIXA GRANDE",33510,14637,11709.6
"BA","BANZAÊ",33529,10680,8544.0
"BA","BARRA",33537,36226,28980.8
"BA","BARRA DA ESTIVA",33553,19657,15725.6
"BA","BARRA DO CHOÇA",33570,28123,22498.4
"BA","BARRA DO MENDES",33596,11929,9543.2
"BA","BARRA DO ROCHA",33618,4585,3668.0
"BA","BARREIRAS",33634,104700,83760.0
"BA","BARRO ALTO",30759,10890,8712.0
"BA","BARROCAS",30775,14492,11593.6
"BA","BARRO PRETO",33650,5854,4683.2
"BA","BELMONTE",33677,14657,11725.6
"BA","BELO CAMPO",33693,14981,11984.8
"BA","BIRITINGA",33715,12862,10289.6
